date,CashDividendsPaid,CommonStockDividendPaid,RepurchaseOfCapitalStock,AccountsPayable,CostOfRevenue,BasicEPS,MarketCap,PeRatio,PegRatio,FreeCashFlow,TotalRevenue,NetIncome,TotalAssets,StockholdersEquity
2009-05-29,,,,,,,32569976128.0,,,,,,,
2014-12-31,-49200000.0,-49200000.0,-52100000.0,292100000.0,807800000.0,1.34,7511777474.0,14.364,3.672,104000000.0,1206300000.0,139500000.0,4798200000.0,1811600000.0
2008-01-31,,,,,,,71915828695.0,17.159,,,,,,
1995-05-31,,,,,,,20091316659.0,26.884,,,,,,
1986-11-28,,,,,,,5819936875.0,,,,,,,
2015-09-30,-19000000.0,-19000000.0,-102000000.0,296000000.0,1456000000.0,2.31,5057480000.0,13.377,,217000000.0,1800000000.0,111000000.0,6042000000.0,1490000000.0
1995-09-29,,,,,,,3455157588.0,,,,,,,
1994-11-30,,,,,,,7292991632.0,111.436,,,,,,
1997-07-31,,,,,,,2767401630.0,26.43,,,,,,
2001-09-30,-142000000.0,,-877000000.0,5285000000.0,11410000000.0,0.81,,,,1200000000.0,13687000000.0,650000000.0,47905000000.0,11304000000.0
2019-06-30,-622000000.0,-622000000.0,-219000000.0,2611000000.0,12434000000.0,5.03,,,,1419000000.0,14427000000.0,1420000000.0,47840000000.0,2850000000.0
1999-07-30,,,,,,,2023931910.0,,,,,,,
2002-09-30,-1791000000.0,,,20644000000.0,12240000000.0,0.41,245293653650.0,16.433,,7579000000.0,32585000000.0,4087000000.0,555523000000.0,62258000000.0
2011-02-28,,,,,,,53020639243.0,16.146,1.335,,,,,
